State,Year,Skin_Disease_Name,Disease_Rate_per_100k_or_pct,Death_Rate_per_100k,Impact_Score_1_5,Treatable,Gender_M_Percent,Gender_F_Percent,Most_Affected_Age_Group,Hospitalization_Rate_per_100k,Avg_Cost_per_Patient_USD,Quality_of_Life_Impact_1_5,Source_URL,Notes
California,2020,Contact Dermatitis,83.03,0,2,Yes,50,50,20-50,0,20398.37,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
California,2020,Fungal Skin Diseases,204.44,0,2,Yes,50,50,All ages,0,7848.48,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
California,2021,Melanoma,176.3,3.11,5,Yes,55,45,60+,1.98,27254.24,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
California,2021,Squamous Cell Carcinoma (SCC),26.15,3.89,4,Yes,60,40,60+,14.72,28337.74,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
California,2021,Basal Cell Carcinoma (BCC),29.6,3.19,3,Yes,52,48,60+,0,601.32,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
California,2021,Psoriasis,212.58,0,3,Partially,45,55,40-59,0,17788.68,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
California,2021,Acne,113.26,0,2,Yes,55,45,0-19,0,25097,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
California,2021,Rosacea,164.04,0,2,Yes,35,65,30-59,0,9355.78,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
California,2021,Contact Dermatitis,76.92,0,2,Yes,50,50,20-50,0,6963.73,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
California,2021,Fungal Skin Diseases,40.83,0,2,Yes,50,50,All ages,0,24697.13,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
California,2022,Melanoma,101.1,3.19,5,Yes,55,45,60+,16.74,9314.28,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
California,2022,Squamous Cell Carcinoma (SCC),243.11,3.71,4,Yes,60,40,60+,14,3991.78,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
California,2022,Basal Cell Carcinoma (BCC),34.73,3.13,3,Yes,52,48,60+,0,5706.36,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
California,2022,Psoriasis,13.98,0,3,Partially,45,55,40-59,0,2945,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
California,2022,Acne,140.79,0,2,Yes,55,45,0-19,0,24187.8,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
California,2022,Rosacea,76.84,0,2,Yes,35,65,30-59,0,11081.32,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
California,2022,Contact Dermatitis,89.64,0,2,Yes,50,50,20-50,0,1354.42,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
California,2022,Fungal Skin Diseases,208.27,0,2,Yes,50,50,All ages,0,4131.59,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
California,2023,Melanoma,60.51,1.34,5,Yes,55,45,60+,15.85,3545.09,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
California,2023,Squamous Cell Carcinoma (SCC),159.84,3.43,4,Yes,60,40,60+,7.9,27901.37,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
California,2023,Basal Cell Carcinoma (BCC),43,3.24,3,Yes,52,48,60+,0,15354.32,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
California,2023,Psoriasis,38.5,0,3,Partially,45,55,40-59,0,5806.22,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
California,2023,Acne,64.62,0,2,Yes,55,45,0-19,0,12035.64,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
California,2023,Rosacea,63.31,0,2,Yes,35,65,30-59,0,5908.5,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
California,2023,Contact Dermatitis,190.56,0,2,Yes,50,50,20-50,0,1996.68,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
California,2023,Fungal Skin Diseases,203.04,0,2,Yes,50,50,All ages,0,15429.91,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
Texas,2018,Melanoma,30.85,3.46,5,Yes,55,45,60+,10.48,7156.39,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
Texas,2018,Squamous Cell Carcinoma (SCC),40.2,0.43,4,Yes,60,40,60+,16.55,15619.11,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
Texas,2018,Basal Cell Carcinoma (BCC),140.52,0.55,3,Yes,52,48,60+,0,12523.42,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
Texas,2018,Psoriasis,146.48,0,3,Partially,45,55,40-59,0,23708.16,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
Texas,2018,Acne,78.04,0,2,Yes,55,45,0-19,0,22018.34,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
Texas,2018,Rosacea,139.11,0,2,Yes,35,65,30-59,0,27491.74,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
Texas,2018,Contact Dermatitis,66.75,0,2,Yes,50,50,20-50,0,5255.38,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
Texas,2018,Fungal Skin Diseases,114.18,0,2,Yes,50,50,All ages,0,27199.79,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
Texas,2019,Melanoma,75.82,1.69,5,Yes,55,45,60+,18.78,9945.59,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
Texas,2019,Squamous Cell Carcinoma (SCC),26.53,2.88,4,Yes,60,40,60+,7.1,18351.97,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
Texas,2019,Basal Cell Carcinoma (BCC),59.83,3.41,3,Yes,52,48,60+,0,13730.95,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
Texas,2019,Psoriasis,249.84,0,3,Partially,45,55,40-59,0,10478.05,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
Texas,2019,Acne,84.97,0,2,Yes,55,45,0-19,0,16261.49,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
Texas,2019,Rosacea,248.34,0,2,Yes,35,65,30-59,0,16036.78,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
Texas,2019,Contact Dermatitis,169.37,0,2,Yes,50,50,20-50,0,9805.57,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
Texas,2019,Fungal Skin Diseases,153.41,0,2,Yes,50,50,All ages,0,15071.33,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
Texas,2020,Melanoma,29,3.26,5,Yes,55,45,60+,0.65,22307.18,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
Texas,2020,Squamous Cell Carcinoma (SCC),50.73,2.63,4,Yes,60,40,60+,4.45,8506.49,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
Texas,2020,Basal Cell Carcinoma (BCC),115.13,3.33,3,Yes,52,48,60+,0,15691.23,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
Texas,2020,Psoriasis,20.29,0,3,Partially,45,55,40-59,0,19253.19,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
Texas,2020,Acne,13.34,0,2,Yes,55,45,0-19,0,10608.39,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
Texas,2020,Rosacea,180.67,0,2,Yes,35,65,30-59,0,17986.74,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
Texas,2020,Contact Dermatitis,167.57,0,2,Yes,50,50,20-50,0,10028.25,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
Texas,2020,Fungal Skin Diseases,97.19,0,2,Yes,50,50,All ages,0,4233.29,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
Texas,2021,Melanoma,71.08,0.56,5,Yes,55,45,60+,3.51,21218.8,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
Texas,2021,Squamous Cell Carcinoma (SCC),80.67,2.01,4,Yes,60,40,60+,9.07,2974.9,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
Texas,2021,Basal Cell Carcinoma (BCC),136.13,1.04,3,Yes,52,48,60+,0,28738.03,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
Texas,2021,Psoriasis,194.52,0,3,Partially,45,55,40-59,0,5254.59,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
Texas,2021,Acne,213.09,0,2,Yes,55,45,0-19,0,12721.21,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
Texas,2021,Rosacea,178.28,0,2,Yes,35,65,30-59,0,11884.06,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
Texas,2021,Contact Dermatitis,165.83,0,2,Yes,50,50,20-50,0,1243.34,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
Texas,2021,Fungal Skin Diseases,175.57,0,2,Yes,50,50,All ages,0,20175.7,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
Texas,2022,Melanoma,33.24,0.3,5,Yes,55,45,60+,14.81,1548.87,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
Texas,2022,Squamous Cell Carcinoma (SCC),50.6,0.16,4,Yes,60,40,60+,10.6,18986.65,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
Texas,2022,Basal Cell Carcinoma (BCC),161.42,0.45,3,Yes,52,48,60+,0,9565.5,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
Texas,2022,Psoriasis,56.44,0,3,Partially,45,55,40-59,0,7558.99,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
Texas,2022,Acne,50.8,0,2,Yes,55,45,0-19,0,18681.36,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
Texas,2022,Rosacea,180.57,0,2,Yes,35,65,30-59,0,25864.87,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
Texas,2022,Contact Dermatitis,206.84,0,2,Yes,50,50,20-50,0,28195.49,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
Texas,2022,Fungal Skin Diseases,101.92,0,2,Yes,50,50,All ages,0,4016.62,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
Texas,2023,Melanoma,52.61,1.62,5,Yes,55,45,60+,14.67,25825.68,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
Texas,2023,Squamous Cell Carcinoma (SCC),65.04,3.02,4,Yes,60,40,60+,14.94,4689.46,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
Texas,2023,Basal Cell Carcinoma (BCC),182.69,3.32,3,Yes,52,48,60+,0,9313.2,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
Texas,2023,Psoriasis,210.75,0,3,Partially,45,55,40-59,0,10942.13,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
Texas,2023,Acne,114.31,0,2,Yes,55,45,0-19,0,16036.69,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
Texas,2023,Rosacea,177.46,0,2,Yes,35,65,30-59,0,2517.47,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
Texas,2023,Contact Dermatitis,90.11,0,2,Yes,50,50,20-50,0,4011.71,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
Texas,2023,Fungal Skin Diseases,208.54,0,2,Yes,50,50,All ages,0,21146.03,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
Florida,2018,Melanoma,143.82,1.22,5,Yes,55,45,60+,6.85,21537.48,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
Florida,2018,Squamous Cell Carcinoma (SCC),115.47,2.33,4,Yes,60,40,60+,11.3,6890.17,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
Florida,2018,Basal Cell Carcinoma (BCC),187.25,3.97,3,Yes,52,48,60+,0,24365.99,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
Florida,2018,Psoriasis,167.19,0,3,Partially,45,55,40-59,0,7128.51,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
Florida,2018,Acne,53.06,0,2,Yes,55,45,0-19,0,1810.7,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
Florida,2018,Rosacea,193.33,0,2,Yes,35,65,30-59,0,24231.02,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
Florida,2018,Contact Dermatitis,52.63,0,2,Yes,50,50,20-50,0,9141.66,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
Florida,2018,Fungal Skin Diseases,76.59,0,2,Yes,50,50,All ages,0,22945.5,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
Florida,2019,Melanoma,223.19,0.75,5,Yes,55,45,60+,12.2,4184.84,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
Florida,2019,Squamous Cell Carcinoma (SCC),67.8,0.47,4,Yes,60,40,60+,4.64,29377.95,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
Florida,2019,Basal Cell Carcinoma (BCC),79.89,1.89,3,Yes,52,48,60+,0,21506.72,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
Florida,2019,Psoriasis,49.65,0,3,Partially,45,55,40-59,0,10492.56,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
Florida,2019,Acne,22.2,0,2,Yes,55,45,0-19,0,14209.62,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
Florida,2019,Rosacea,36.74,0,2,Yes,35,65,30-59,0,26136.81,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
Florida,2019,Contact Dermatitis,169.84,0,2,Yes,50,50,20-50,0,29405.58,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
Florida,2019,Fungal Skin Diseases,28.83,0,2,Yes,50,50,All ages,0,5628.94,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
Florida,2020,Melanoma,59.05,3.69,5,Yes,55,45,60+,13.39,20699.75,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
Florida,2020,Squamous Cell Carcinoma (SCC),80.52,3.92,4,Yes,60,40,60+,0.93,4212.36,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
Florida,2020,Basal Cell Carcinoma (BCC),123.42,1.58,3,Yes,52,48,60+,0,1353.17,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
Florida,2020,Psoriasis,10.13,0,3,Partially,45,55,40-59,0,7708.42,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
Florida,2020,Acne,60.7,0,2,Yes,55,45,0-19,0,20161.93,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
Florida,2020,Rosacea,180.11,0,2,Yes,35,65,30-59,0,19315.44,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
Florida,2020,Contact Dermatitis,78.17,0,2,Yes,50,50,20-50,0,26793.62,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
Florida,2020,Fungal Skin Diseases,137.54,0,2,Yes,50,50,All ages,0,23643.25,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
Florida,2021,Melanoma,231.52,2.82,5,Yes,55,45,60+,6.3,10931.36,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
Florida,2021,Squamous Cell Carcinoma (SCC),152.31,1.25,4,Yes,60,40,60+,1.79,18604.05,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
Florida,2021,Basal Cell Carcinoma (BCC),213.63,3.59,3,Yes,52,48,60+,0,20340.16,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
Florida,2021,Psoriasis,95.2,0,3,Partially,45,55,40-59,0,15716.19,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
Florida,2021,Acne,50.48,0,2,Yes,55,45,0-19,0,21142.12,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
Florida,2021,Rosacea,136.09,0,2,Yes,35,65,30-59,0,24768.03,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
Florida,2021,Contact Dermatitis,120.38,0,2,Yes,50,50,20-50,0,4383.98,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
Florida,2021,Fungal Skin Diseases,128.94,0,2,Yes,50,50,All ages,0,22644.06,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
Florida,2022,Melanoma,51.09,1.49,5,Yes,55,45,60+,19.67,3387.89,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
Florida,2022,Squamous Cell Carcinoma (SCC),186.14,1.71,4,Yes,60,40,60+,1.34,14322.44,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
Florida,2022,Basal Cell Carcinoma (BCC),24.38,3.72,3,Yes,52,48,60+,0,4767.31,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
Florida,2022,Psoriasis,39.84,0,3,Partially,45,55,40-59,0,12217.61,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
Florida,2022,Acne,98.4,0,2,Yes,55,45,0-19,0,24689.63,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
Florida,2022,Rosacea,221.42,0,2,Yes,35,65,30-59,0,5404.3,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
Florida,2022,Contact Dermatitis,25.88,0,2,Yes,50,50,20-50,0,1592.59,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
Florida,2022,Fungal Skin Diseases,218.48,0,2,Yes,50,50,All ages,0,28820.98,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
Florida,2023,Melanoma,134.18,1.41,5,Yes,55,45,60+,11.11,22840.55,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
Florida,2023,Squamous Cell Carcinoma (SCC),116.11,0.78,4,Yes,60,40,60+,12.53,11793.92,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
Florida,2023,Basal Cell Carcinoma (BCC),135.81,0.41,3,Yes,52,48,60+,0,27163.31,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
Florida,2023,Psoriasis,185.2,0,3,Partially,45,55,40-59,0,6719.53,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
Florida,2023,Acne,226.3,0,2,Yes,55,45,0-19,0,12545.92,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
Florida,2023,Rosacea,24.93,0,2,Yes,35,65,30-59,0,7828.57,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
Florida,2023,Contact Dermatitis,208.89,0,2,Yes,50,50,20-50,0,25552.83,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
Florida,2023,Fungal Skin Diseases,223.19,0,2,Yes,50,50,All ages,0,14051.98,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
New York,2018,Melanoma,52.03,1.53,5,Yes,55,45,60+,19.64,7734.79,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
New York,2018,Squamous Cell Carcinoma (SCC),178.61,0.15,4,Yes,60,40,60+,13.8,21924.37,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
New York,2018,Basal Cell Carcinoma (BCC),147.54,2.31,3,Yes,52,48,60+,0,8337.88,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
New York,2018,Psoriasis,45.99,0,3,Partially,45,55,40-59,0,15534.23,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
New York,2018,Acne,58.96,0,2,Yes,55,45,0-19,0,29651.44,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
New York,2018,Rosacea,137.09,0,2,Yes,35,65,30-59,0,19397.21,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
New York,2018,Contact Dermatitis,15.35,0,2,Yes,50,50,20-50,0,17455.48,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
New York,2018,Fungal Skin Diseases,132.61,0,2,Yes,50,50,All ages,0,8418.49,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
New York,2019,Melanoma,98.19,1.52,5,Yes,55,45,60+,14.01,17433.72,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
New York,2019,Squamous Cell Carcinoma (SCC),60.7,3.38,4,Yes,60,40,60+,19.48,7563.22,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
New York,2019,Basal Cell Carcinoma (BCC),96.59,2.49,3,Yes,52,48,60+,0,10967.34,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
New York,2019,Psoriasis,143.89,0,3,Partially,45,55,40-59,0,6298.67,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
New York,2019,Acne,115.98,0,2,Yes,55,45,0-19,0,19313.4,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
New York,2019,Rosacea,20.81,0,2,Yes,35,65,30-59,0,21815.62,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
New York,2019,Contact Dermatitis,78.13,0,2,Yes,50,50,20-50,0,13626.47,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
New York,2019,Fungal Skin Diseases,44.45,0,2,Yes,50,50,All ages,0,26588.87,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
New York,2020,Melanoma,81.79,1.52,5,Yes,55,45,60+,4.39,14177.5,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
New York,2020,Squamous Cell Carcinoma (SCC),235.94,0.23,4,Yes,60,40,60+,7.88,18716.97,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
New York,2020,Basal Cell Carcinoma (BCC),119.99,1.89,3,Yes,52,48,60+,0,11323.87,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
New York,2020,Psoriasis,28.29,0,3,Partially,45,55,40-59,0,21807.35,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
New York,2020,Acne,248.71,0,2,Yes,55,45,0-19,0,14265.41,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
New York,2020,Rosacea,58.62,0,2,Yes,35,65,30-59,0,16094.6,2,https://www.aad.org/media/stats-skin-cancer,Chronic facial redness and swelling
New York,2020,Contact Dermatitis,105.03,0,2,Yes,50,50,20-50,0,19435.27,2,https://www.aad.org/media/stats-skin-cancer,Common allergic skin reaction
New York,2020,Fungal Skin Diseases,20.37,0,2,Yes,50,50,All ages,0,9299.6,2,https://www.aad.org/media/stats-skin-cancer,Common fungal infections
New York,2021,Melanoma,67.19,3.82,5,Yes,55,45,60+,18.44,8039.14,5,https://www.aad.org/media/stats-skin-cancer,"High mortality, treatable early"
New York,2021,Squamous Cell Carcinoma (SCC),79.56,1.98,4,Yes,60,40,60+,3.71,14793.54,4,https://www.aad.org/media/stats-skin-cancer,Common non-melanoma skin cancer
New York,2021,Basal Cell Carcinoma (BCC),190.97,3.7,3,Yes,52,48,60+,0,6551.92,3,https://www.aad.org/media/stats-skin-cancer,Most common skin cancer
New York,2021,Psoriasis,52.72,0,3,Partially,45,55,40-59,0,5995.01,3,https://www.aad.org/media/stats-skin-cancer,Chronic autoimmune skin condition
New York,2021,Acne,102.72,0,2,Yes,55,45,0-19,0,6163.78,2,https://www.aad.org/media/stats-skin-cancer,Most common skin condition in adolescents
